text,emotion
I am very happy,happy
I feel amazing,happy
I am excited,happy
Today is wonderful,happy
I feel sad,sad
I am crying,sad
Nobody understands me,sad
I feel lonely,lonely
I am stressed,stress
Too much pressure,stress
I am anxious,anxiety
I am scared,anxiety
I am worried,anxiety
I am angry,angry
I hate everything,angry
I am frustrated,angry
I don't know what to do,confused
I feel confused,confused
I am okay,neutral
Nothing special today,neutral
I feel motivated,motivated
I will never give up,motivated
