emotion,title,description
happy,Keep Growing,"Continue doing activities that make you happy and maintain a healthy routine."
happy,Share Positivity,"Spend time with family and friends."
sad,Talk to Someone,"Share your feelings with a trusted friend, family member, teacher, or counselor."
sad,Take a Walk,"Spend 15 minutes outside and enjoy fresh air."
stress,Deep Breathing,"Practice deep breathing for 5 minutes."
stress,Study Planner,"Break your work into smaller achievable tasks."
anxiety,Grounding Exercise,"Focus on five things you can see, four you can touch, three you can hear, two you can smell, and one you can taste."
anxiety,Relaxation,"Take a short break and avoid overthinking."
angry,Pause Before Reacting,"Take slow breaths before responding."
angry,Exercise,"Go for a short walk or do light exercise."
lonely,Connect with Someone,"Call or message a trusted friend or family member."
lonely,Join Activities,"Participate in a club, community, or study group."
confused,Make a List,"Write down your thoughts and prioritize one task at a time."
motivated,Keep Going,"Stay consistent and celebrate small achievements."
neutral,Healthy Routine,"Maintain good sleep, nutrition, and regular exercise."
