emotion,quote
happy,"Keep smiling. Your positive attitude inspires others."
happy,"Every small success brings you closer to your dreams."
happy,"Celebrate your progress and keep moving forward."
sad,"This difficult moment will not last forever."
sad,"You are stronger than you think."
sad,"One bad day does not define your future."
stress,"Take one step at a time."
stress,"Rest is part of productivity."
stress,"Your mental health is more important than perfection."
anxiety,"Focus on what you can control today."
anxiety,"Take a slow deep breath. You are safe in this moment."
anxiety,"Every challenge can be managed one step at a time."
angry,"Pause before reacting. Calm decisions are stronger decisions."
angry,"Take a deep breath before responding."
lonely,"You are not alone. Someone cares about you."
lonely,"Reach out to someone you trust today."
confused,"It's okay not to have all the answers today."
confused,"Small steps create big achievements."
motivated,"Keep working hard. Your future self will thank you."
motivated,"Consistency is more powerful than perfection."
neutral,"Every new day is another opportunity to grow."
